stateHeads/name,stateHeads/country,stateHeads/office,stateHeads/mandate_start,stateHeads/mandate_end,stateHeads/term_length,stateHeads/head_of_state_or_gov
Julia Gillard,Australia,Prime Minister,24 June 2010,27 June 2013,"3 years, 3 days",Head of government
Iveta Radičová,Slovakia,Prime Minister,8 July 2010,4 April 2012,"1 year, 271 days",Head of government
Dilma Rousseff,Brazil,President,1 January 2011,31 August 2016Suspended 12 May 2016,"5 years, 243 days5 years, 132 days",Head of state and government
Rosario Fernández,Peru,Prime Minister,19 March 2011,28 July 2011,131 days,*
Cissé Mariam Kaïdama Sidibé,Mali,Prime Minister,3 April 2011,22 March 2012,354 days,Head of government
Atifete Jahjaga,Kosovo,President,7 April 2011,7 April 2016,"5 years, 0 days",Head of state
Yingluck Shinawatra,Thailand,Prime Minister,3 July 2011,7 May 2014,"2 years, 308 days",Head of government
Helle Thorning-Schmidt,Denmark,Prime Minister,3 October 2011,28 June 2015,"3 years, 268 days",Head of government
Portia Simpson-Miller,Jamaica,Prime Minister,5 January 2012,3 March 2016,"4 years, 58 days",Head of government
Adiato Djaló Nandigna,Guinea-Bissau,Acting Prime Minister,10 February 2012,12 April 2012,62 days,Head of government
Monique Ohsan Bellepeau,Mauritius,Acting President,31 March 2012,21 July 2012,112 days,Head of state
Slavica Đukić Dejanović,Serbia,Acting President,5 April 2012,31 May 2012,56 days,Head of state
Joyce Banda,Malawi,President,7 April 2012,31 May 2014,"2 years, 54 days",Head of state and government
Park Geun-hye,South Korea,President,25 February 2013,10 March 2017Suspended 9 December 2016,"4 years, 13 days3 years, 288 days",Head of state and government
Alenka Bratušek,Slovenia,Prime Minister,20 March 2013,18 September 2014,"1 year, 182 days",Head of government
Sibel Siber,Northern Cyprus,Prime Minister,13 June 2013,2 September 2013,81 days,Head of government
Tatiana Turanskaya,Transnistria,Prime Minister,10 June 2013,13 October 2015,"2 years, 125 days",Head of government
Aminata Touré,Senegal,Prime Minister,1 September 2013,8 July 2014,310 days,Head of government
Erna Solberg,Norway,Prime Minister,16 October 2013,Incumbent,"6 years, 73 days",Head of government
Laimdota Straujuma,Latvia,Prime Minister,22 January 2014,11 February 2016,"2 years, 20 days",Head of government
Catherine Samba-Panza,Central African Republic,Acting President,23 January 2014,30 March 2016,"2 years, 67 days",Head of state
Michelle Bachelet,Chile,President,11 March 2014,11 March 2018,"4 years, 0 days",Head of state and government
Marie-Louise Coleiro Preca,Malta,President,4 April 2014,4 April 2019,"5 years, 0 days",Head of state
Ana Jara,Peru,Prime Minister,22 July 2014,2 April 2015,254 days,*
Ewa Kopacz,Poland,Prime Minister,22 September 2014,16 November 2015,"1 year, 55 days",Head of government
Florence Duperval Guillaume,Haiti,Acting Prime Minister,20 December 2014,16 January 2015,27 days,Head of government
Kolinda Grabar-Kitarović,Croatia,President,19 February 2015,Incumbent,"4 years, 312 days",Head of state
Saara Kuugongelwa,Namibia,Prime Minister,21 March 2015,Incumbent,"4 years, 282 days",*
Monique Ohsan Bellepeau,Mauritius,Acting President,29 May 2015,5 June 2015,7 days,Head of state
Ameenah Gurib,Mauritius,President,5 June 2015,23 March 2018,"2 years, 291 days",Head of state
Natalia Gherman,Moldova,Acting Prime Minister,22 June 2015,30 July 2015,38 days,Head of government
Vassiliki Thanou,Greece,Acting Prime Minister,27 August 2015,21 September 2015,25 days,Head of government
Maya Parnas,Transnistria,Acting Prime Minister,13 October 2015,30 November 2015,48 days,Head of government
Bidhya Devi Bhandari,  Nepal,President,29 October 2015,Incumbent,"4 years, 60 days",Head of state
Beata Szydło,Poland,Prime Minister,16 November 2015,11 December 2017,"2 years, 25 days",Head of government
Tatiana Turanskaya,Transnistria,Prime Minister,30 November 2015,2 December 2015,2 days,Head of government
Maya Parnas,Transnistria,Acting Prime Minister,2 December 2015,23 December 2015,21 days,Head of government
Hilda Heine,Marshall Islands,President,28 January 2016,Incumbent,"3 years, 334 days",Head of state and government
Aung San Suu Kyi,Myanmar,State Counsellor,6 April 2016,Incumbent,"3 years, 266 days",de facto Head of government
Tsai Ing-wen,Taiwan,President,20 May 2016,Incumbent,"3 years, 222 days",Head of state
Doris Bures,Austria,Co-Acting President,8 July 2016,26 January 2017,202 days,Head of state
Theresa May,United Kingdom,Prime Minister,13 July 2016,24 July 2019,"3 years, 11 days",Head of government
Kersti Kaljulaid,Estonia,President,10 October 2016,Incumbent,"3 years, 79 days",Head of state
Ana Brnabić,Serbia,Prime Minister,29 June 2017,Incumbent,"2 years, 182 days",Head of government
Halimah Yacob,Singapore,President,14 September 2017,Incumbent,"2 years, 105 days",Head of state
Mercedes Aráoz,Peru,Prime Minister,17 September 2017,2 April 2018,197 days,*
Jacinda Ardern,New Zealand,Prime Minister,26 October 2017,Incumbent,"2 years, 63 days",Head of government
Katrín Jakobsdóttir,Iceland,Prime Minister,30 November 2017,Incumbent,"2 years, 28 days",Head of government
Viorica Dăncilă,Romania,Prime Minister,29 January 2018,4 November 2019,"1 year, 279 days",Head of government
Paula-Mae Weekes,Trinidad and Tobago,President,19 March 2018,Incumbent,"1 year, 284 days",Head of state
Mia Mottley,Barbados,Prime Minister,25 May 2018,Incumbent,"1 year, 217 days",Head of government
Đặng Thị Ngọc Thịnh,Vietnam,Acting President,21 September 2018,23 October 2018,32 days,Head of state
Sahle-Work Zewde,Ethiopia,President,25 October 2018,Incumbent,"1 year, 64 days",Head of state
Salome Zurabishvili,Georgia,President,16 December 2018,Incumbent,"1 year, 12 days",Head of state
Brigitte Bierlein,Austria,Chancellor,3 June 2019,Incumbent,208 days,Head of government
Maia Sandu,Moldova,Prime Minister,8 June 2019,14 November 2019,159 days,Head of government
Zuzana Čaputová,Slovakia,President,15 June 2019,Incumbent,196 days,Head of state
Mette Frederiksen,Denmark,Prime Minister,27 June 2019,Incumbent,184 days,Head of government
Sophie Wilmès,Belgium,Prime Minister,27 October 2019,Incumbent,62 days,Head of government
Jeanine Áñez (de-facto),Bolivia,Acting President,12 November 2019,Incumbent,46 days,Head of state and government
Sanna Marin,Finland,Prime Minister,10 December 2019,Incumbent,18 days,Head of government
Chandrika Kumaratunga,Sri Lanka,Prime Minister,19 August 1994,19 November 2005,"11 years, 92 days",Head of state and government
Janet Jagan,Guyana,Prime Minister,17 March 1997,11 August 1999,"2 years, 147 days",Head of state and government
