"stateHeads__name","stateHeads__country","stateHeads__office","stateHeads__mandate_start","stateHeads__mandate_end","stateHeads__term_length","stateHeads__head_of_state_or_gov","stateHeads__description","stateHeads__img","errorHeads"
"Maria de Lourdes Pintasilgo","Portugal","Prime Minister","1 August 1979","3 January 1980","186 days","Head of government","Maria de Lourdes Ruivo da Silva de Matos Pintasilgo GCC GCIH GCL (Portuguese pronunciation: [mɐˈɾiɐ dɨ ˈluɾdɨʃ pĩtɐˈsiɫɡu]; Abrantes, São João Baptista, 18 January 1930 – Lisbon, 10 July 2004) was a Portuguese chemical engineer and politician. She was the first and to date only woman to serve as Prime Minister of Portugal, and the second woman to serve as Prime Minister in Western Europe, after Margaret Thatcher.","//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Maria_de_Lourdes_Pintasilgo_%281986%29_%28cropped%29.jpg/220px-Maria_de_Lourdes_Pintasilgo_%281986%29_%28cropped%29.jpg",""
"Lidia Gueiler Tejada","Bolivia","Acting President","16 November 1979","17 July 1980","244 days","Head of state","Lidia Gueiler Tejada (28 August 1921 – 9 May 2011) was the first female President of Bolivia, serving in an interim capacity from 1979 to 1980. She was Bolivia's first female Head of State, and the second in American history (the first was Isabel Perón in Argentina between 1974 and 1976).","//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Lidia_Gueiler_Tejada.png/220px-Lidia_Gueiler_Tejada.png",""
"Indira Gandhi","India","Prime Minister","15 January 1980","31 October 1984(assassinated)","4 years, 290 days","Head of government","Indira Priyadarshini Gandhi (Hindi: [ˈɪndɪraː ˈɡaːndʱiː] (listen); née Nehru; 19 November 1917 – 31 October 1984) was an Indian politician and a central figure of the Indian National Congress. She was the first and, to date, the only female Prime Minister of India. Indira Gandhi was the daughter of Jawaharlal Nehru, the first prime minister of India. She served as Prime Minister from January 1966 to March 1977 and again from January 1980 until her assassination in October 1984, making her the second longest-serving Indian Prime Minister, after her father.","//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Indira-Gandhi-ili-50-img-2.jpg/220px-Indira-Gandhi-ili-50-img-2.jpg",""
"Dame Eugenia Charles","Dominica","Prime Minister","21 July 1980","14 June 1995","14 years, 328 days","Head of government","Dame Mary Eugenia Charles, DBE (15 May 1919 – 6 September 2005) was a Dominican politician who was Prime Minister of Dominica from 21 July 1980 until 14 June 1995. The first woman lawyer in Dominica, she was Dominica's first, and to date only, female prime minister. She was the second female prime minister in the Caribbean after Lucina da Costa of the Netherlands Antilles. She was the first woman in the Americas to be elected in her own right as head of government. She served for the longest period of any Dominican prime minister, and was the world's third longest-serving female Prime Minister, behind Indira Gandhi of India and Sirimavo Bandaranaike of Sri Lanka. She established a record for the longest continuous service of any woman Prime Minister.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Eugenia_Charles.jpg/330px-Eugenia_Charles.jpg",""
"Vigdís Finnbogadóttir","Iceland","President","1 August 1980","31 July 1996","16 years, 0 days","Head of state"," Vigdís Finnbogadóttir (Icelandic: [ˈvɪɣtis ˈfɪnpɔɣaˌtouʰtɪr̥] (listen); born 15 April 1930) served as the fourth President of Iceland from 1 August 1980 to 1 August 1996. She was the world's first democratically directly elected female president. With a presidency of exactly sixteen years, she also remains the longest-serving elected female head of state of any country to date. Currently, she is a UNESCO Goodwill Ambassador, and a member of the Club of Madrid. She is also to-date Iceland's only female president.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Vigdis_Finnbogadottir_%281985%29.jpg/330px-Vigdis_Finnbogadottir_%281985%29.jpg",""
"Gro Harlem Brundtland","Norway","Prime Minister","4 February 1981","14 October 1981","252 days","Head of government","Gro Harlem Brundtland (Norwegian pronunciation: [ˈɡruː ˈhɑːɭɛm ˈbrʉntlɑnː]; born Gro Harlem, 20 April 1939) is a Norwegian politician, who served three terms as Prime Minister of Norway (1981, 1986–89, and 1990–96) and as Director-General of the World Health Organization from 1998 to 2003. She is also known for having chaired the Brundtland Commission which presented the Brundtland Report on sustainable development.","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Gro_Harlem_Brundtland_%28cropped%29.jpg/220px-Gro_Harlem_Brundtland_%28cropped%29.jpg",""
"Soong Ching-ling","China","Honorary President","16 May 1981","28 May 1981","12 days","Head of state","Rosamond Soong Ching-ling (27 January 1893 – 29 May 1981) was a Chinese political figure. As the third wife of Sun Yat-sen, one of the leaders of the 1911 revolution that established the Republic of China, she was often referred to as Madame Sun Yat-sen. She was a member of the Soong family and, together with her siblings, played a prominent role in China's politics prior to and after 1949.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Sun-Soong_wedding_photo_2.jpg/330px-Sun-Soong_wedding_photo_2.jpg",""
"Agatha Barbara","Malta","President","15 February 1982","15 February 1987","5 years, 0 days","Head of state","Agatha Barbara, KUOM (11 March 1923 – 4 February 2002) was a Maltese politician, having served as a Labour Member of Parliament and Minister. She was the first woman to hold the office of President of Malta, and is the longest standing woman Member of Parliament in Maltese political history.","//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Ms_Agatha_Barbara.jpg/220px-Ms_Agatha_Barbara.jpg",""
"Milka Planinc","Yugoslavia","Prime Minister","16 May 1982","15 May 1986","3 years, 364 days","Head of government","Milka Planinc (pronounced [mîːlka plǎnint͡s]; 21 November 1924 – 7 October 2010) was a Yugoslav politician from Croatia. She served as Prime Minister of the Socialist Federal Republic of Yugoslavia from 1982 to 1986, the first and only woman to hold this office. Planinc was the first female head of government in a diplomatically recognized Communist state, with the first in a partially recognized Communist country being Khertek Anchimaa-Toka of the Tuvan People's Republic, who was also the first female non-hereditary head of state.","//upload.wikimedia.org/wikipedia/en/thumb/2/28/MilkaPlaninc.jpg/220px-MilkaPlaninc.jpg",""
"Carmen Pereira","Guinea-Bissau","Acting President","14 May 1984","16 May 1984","2 days","Head of state","Carmen Pereira (1937 – 4 June 2016) was a politician in Guinea-Bissau. She served three days as Acting President in 1984, becoming the first woman in this role in Africa and the only one in Guinea-Bissau's history. She had the shortest term as the Acting President, serving only three days in office. She died in Bissau on 4 June 2016.","no image on wikipedia :(",""
"Corazon Aquino","Philippines","President","25 February 1986","30 June 1992","6 years, 126 days","Head of state and government","Maria Corazon ""Cory"" Cojuangco Aquino (born Maria Corazon Sumulong Cojuangco; 25 January 1933 – 1 August 2009) was a Filipino politician who served as the 11th President of the Philippines, becoming the first woman to hold that office.  Corazon Aquino was the most prominent figure of the 1986 People Power Revolution, which ended the 21-year rule of President Ferdinand Marcos. She was named Time magazine's Woman of the Year in 1986. Prior to this, she had not held any elective office.","//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Corazon_Aquino_1986.jpg/220px-Corazon_Aquino_1986.jpg",""
"Gro Harlem Brundtland","Norway","Prime Minister","9 May 1986","16 October 1989","3 years, 160 days","Head of government","Gro Harlem Brundtland (Norwegian pronunciation: [ˈɡruː ˈhɑːɭɛm ˈbrʉntlɑnː]; born Gro Harlem, 20 April 1939) is a Norwegian politician, who served three terms as Prime Minister of Norway (1981, 1986–89, and 1990–96) and as Director-General of the World Health Organization from 1998 to 2003. She is also known for having chaired the Brundtland Commission which presented the Brundtland Report on sustainable development.","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Gro_Harlem_Brundtland_%28cropped%29.jpg/220px-Gro_Harlem_Brundtland_%28cropped%29.jpg",""
"Stella Sigcau","Transkei","Prime Minister","5 October 1987","30 December 1987","86 days","Head of government","Princess Stella Sigcau (4 January 1937 or 14 January 1937 – 7 May 2006) was a Minister in the South African Government. Sigcau was also the first female Prime Minister of the Transkei before being deposed in a military coup in 1987.","no image on wikipedia :(",""
"Benazir Bhutto","Pakistan","Prime Minister","2 December 1988","6 July 1990","1 year, 216 days","Head of government","Benazir Bhutto (Sindhi: بينظير ڀُٽو‎; Urdu: بینظیر بھٹو‎; Urdu pronunciation: [beːnəˈziːr ˈbʱʊʈ.ʈoː]; 21 June 1953 – 27 December 2007) was a Pakistani politician who served as Prime Minister of Pakistan from 1988 to 1990 and again from 1993 to 1996. She was the first woman to head a democratic government in a Muslim majority nation. Ideologically a liberal and a secularist, she chaired or co-chaired the Pakistan Peoples Party (PPP) from the early 1980s until her assassination in 2007.","//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Benazir_Bhutto.jpg/220px-Benazir_Bhutto.jpg",""
"Ertha Pascal-Trouillot","Haiti","Acting President","13 March 1990","7 February 1991","331 days","Head of state","Ertha Pascal-Trouillot (born 13 August 1943) was the provisional President of Haiti for 11 months in 1990 and 1991. She was the first woman in Haitian history to hold that office.","no image on wikipedia :(",""
"Kazimira Prunskienė","Lithuania","Prime Minister","17 March 1990","10 January 1991","299 days","Head of government","Kazimira Danutė Prunskienė (pronunciation (help·info)) (born 26 February 1943 in Vasiuliškė, Švenčionys district municipality) is a Lithuanian politician who was the first Prime Minister of Lithuania after the declaration of independence of 11 March 1990, and Minister of Agriculture in the government of Gediminas Kirkilas.","//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Signature_of_Kazimira_Prunskien%C4%97.png/128px-Signature_of_Kazimira_Prunskien%C4%97.png",""
"Sabine Bergmann-Pohl","East Germany","President of the Peoples Chamber","5 April 1990","2 October 1990","180 days","Head of state","Sabine Bergmann-Pohl (née Schulz; German: [zaˈbiːnə ˈbɛʁkman poːl]; born 20 April 1946) is a German doctor and politician. A member of the Christian Democratic Union of Germany (CDU), she was president of the People's Chamber of East Germany from April to October 1990.  As such, she served as acting head of state of East Germany until its merger into West Germany in October. After the reunification of Germany, she served in the government of Chancellor Helmut Kohl.","//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Sabine_Bergmann-Pohl.jpg/220px-Sabine_Bergmann-Pohl.jpg",""
"Violeta Chamorro","Nicaragua","President","25 April 1990","10 January 1997","6 years, 260 days","Head of state and government","Violeta Chamorro  (Spanish pronunciation: [bjoˈleta tʃaˈmoro], born Violeta Barrios Torres; 18 October 1929) is a Nicaraguan politician, former president. She was the first and, to date, only woman to hold the position of president in Nicaragua.","//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Violeta_Chamorro.jpg/220px-Violeta_Chamorro.jpg",""
"Gro Harlem Brundtland","Norway","Prime Minister","3 November 1990","25 October 1996","5 years, 357 days","Head of government","Gro Harlem Brundtland (Norwegian pronunciation: [ˈɡruː ˈhɑːɭɛm ˈbrʉntlɑnː]; born Gro Harlem, 20 April 1939) is a Norwegian politician, who served three terms as Prime Minister of Norway (1981, 1986–89, and 1990–96) and as Director-General of the World Health Organization from 1998 to 2003. She is also known for having chaired the Brundtland Commission which presented the Brundtland Report on sustainable development.","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Gro_Harlem_Brundtland_%28cropped%29.jpg/220px-Gro_Harlem_Brundtland_%28cropped%29.jpg",""
"Mary Robinson","Ireland","President","3 December 1990","12 September 1997","6 years, 283 days","Head of state","Mary Therese Winifred Robinson (Irish: Máire Bean Mhic Róibín; née Bourke; born 21 May 1944) is an Irish Independent politician who served as the seventh President of Ireland from December 1990 to September 1997, becoming the first woman to hold this office. She also served as United Nations High Commissioner for Human Rights from 1997 to 2002 and a Senator for the University of Dublin from 1969 to 1989. She first rose to prominence as an academic, barrister and campaigner. She defeated Fianna Fáil's Brian Lenihan and Fine Gael's Austin Currie in the 1990 presidential election, becoming the first Independent candidate nominated by the Labour Party, the Workers' Party and Independent Senators. She was the first elected President in the office's history not to have had the support of Fianna Fáil.","//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Mary_Robinson_%282014%29.jpg/220px-Mary_Robinson_%282014%29.jpg",""
"Khaleda Zia","Bangladesh","Prime Minister","27 February 1991","30 March 1996","5 years, 32 days","Head of government"," Khaleda Zia (IPA: kʰaled̪a dʒia; born Khaleda Khanam Putul in 1945) is a Bangladeshi politician who served as the Prime Minister of Bangladesh from 1991 to 1996, and again from 2001 to 2006. She was the first woman in the country's history and second in the Muslim majority countries (after Benazir Bhutto) to head a democratic government as prime minister. She was the wife of a former President of Bangladesh Ziaur Rahman. She is the current chairperson and leader of the Bangladesh Nationalist Party (BNP) which was founded by Rahman in the late 1970s.","//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Khaleda_Clinton.JPG/220px-Khaleda_Clinton.JPG",""
"Édith Cresson","France","Prime Minister","15 May 1991","2 April 1992","323 days","Head of government","Édith Cresson (French pronunciation: ​[edit kʁɛsɔ̃]; née Campion; born 27 January 1934) is a French politician. She is the only woman to have held the office of Prime Minister of France.  Her political career ended in scandal from corruption charges while she was the European Commissioner for Research, Science and Technology.","//upload.wikimedia.org/wikipedia/commons/thumb/6/63/%C3%89dith_Cresson_%28cropped%29.JPG/220px-%C3%89dith_Cresson_%28cropped%29.JPG",""
"Hanna Suchocka","Poland","Prime Minister","11 July 1992","25 October 1993","1 year, 106 days","Head of government","Hanna Suchocka (pronounced [ˈxanna suˈxɔtska] (listen); born 3 April 1946) is a Polish political figure, lawyer, professor at Adam Mickiewicz University in Poznań and Chair of the Constitutional Law Department, former First Vice-President and Honorary President of the Venice Commission.","//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Hanna_Suchocka_1135.jpg/220px-Hanna_Suchocka_1135.jpg",""
"Tansu Çiller","Turkey","Prime Minister","13 June 1993","6 March 1996","2 years, 267 days","Head of government","Tansu Çiller (Turkish: [ˈtansu tʃiˈlːæɾ]; born 24 May 1946) is a Turkish academic, economist, and politician who served as the 22nd Prime Minister of Turkey from 1993 to 1996. She is Turkey's only female prime minister. As the leader of the True Path Party, she went on to concurrently serve as Deputy Prime Minister of Turkey and as  Minister of Foreign Affairs between 1996 and 1997.","//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/%28Tansu_%C3%87iller%29_Rueda_de_prensa_de_Felipe_Gonz%C3%A1lez_y_la_primera_ministra_de_Turqu%C3%ADa._Pool_Moncloa._16_de_noviembre_de_1995_%28cropped%29.jpeg/220px-%28Tansu_%C3%87iller%29_Rueda_de_prensa_de_Felipe_Gonz%C3%A1lez_y_la_primera_ministra_de_Turqu%C3%ADa._Pool_Moncloa._16_de_noviembre_de_1995_%28cropped%29.jpeg",""
"Kim Campbell","Canada","Prime Minister","25 June 1993","4 November 1993","132 days","Head of government","Avril Phaedra Douglas ""Kim"" Campbell PC CC OBC QC (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993. Campbell is the first and only woman to hold the position.","//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Kim_Campbell.jpg/220px-Kim_Campbell.jpg",""
"Sylvie Kinigi","Burundi","Prime Minister","10 July 1993","27 October 1993","109 days","Head of government","Sylvie Kinigi (born 1953) was Prime Minister of Burundi from 10 July 1993 to 7 February 1994, and acting President from 27 October 1993 to 5 February 1994, the first and to date only woman to hold these positions.","no image on wikipedia :(",""
"Agathe Uwilingiyimana","Rwanda","Prime Minister","18 July 1993","7 April 1994(assassinated)","263 days","Head of government","Agathe Uwilingiyimana (Kinyarwanda: [uwiliɲɟijimɑ̂ːnɑ]; 23 May 1953 – 7 April 1994), sometimes known as Madame Agathe, was a Rwandan political figure. She served as Prime Minister of Rwanda from 18 July 1993 until her assassination on 7 April 1994, during the opening stages of the Rwandan genocide. She was Rwanda's first and so far only female prime minister.","//upload.wikimedia.org/wikipedia/en/thumb/1/1f/Agathe_Uwilingiyimana.jpg/220px-Agathe_Uwilingiyimana.jpg",""
"Benazir Bhutto","Pakistan","Prime Minister","19 October 1993","5 November 1996","3 years, 17 days","Head of government","Benazir Bhutto (Sindhi: بينظير ڀُٽو‎; Urdu: بینظیر بھٹو‎; Urdu pronunciation: [beːnəˈziːr ˈbʱʊʈ.ʈoː]; 21 June 1953 – 27 December 2007) was a Pakistani politician who served as Prime Minister of Pakistan from 1988 to 1990 and again from 1993 to 1996. She was the first woman to head a democratic government in a Muslim majority nation. Ideologically a liberal and a secularist, she chaired or co-chaired the Pakistan Peoples Party (PPP) from the early 1980s until her assassination in 2007.","//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Benazir_Bhutto.jpg/220px-Benazir_Bhutto.jpg",""
"Sylvie Kinigi","Burundi","Acting President","27 October 1993","5 February 1994","101 days","Head of state","Sylvie Kinigi (born 1953) was Prime Minister of Burundi from 10 July 1993 to 7 February 1994, and acting President from 27 October 1993 to 5 February 1994, the first and to date only woman to hold these positions.","no image on wikipedia :(",""
"Chandrika Kumaratunga","Sri Lanka","Prime Minister","19 August 1994","12 November 1994","85 days","Deputy head of government","Chandrika Bandaranaike Kumaratunga  (Sinhala: චන්ද්‍රිකා බණ්ඩාරනායක කුමාරතුංග,Tamil: சந்திரிகா பண்டாரநாயக்க குமாரதுங்க; born 29 June 1945) is a Sri Lankan politician who served as the fifth President of Sri Lanka, from 12 November 1994 to 19 November 2005. The country's only female president to date, she is the daughter of two former prime ministers and was the leader of the Sri Lanka Freedom Party (SLFP) until the end of 2005. In 2015 she was appointed as the chairperson of office for national unity and reconciliation.","//upload.wikimedia.org/wikipedia/commons/b/b3/Chandrika_Bandaranaike_Kumaratunga_As_The_President_of_Sri_Lanka.jpg",""
"Sirimavo Bandaranaike","Sri Lanka","Prime Minister","14 November 1994","9 August 2000","5 years, 269 days","Deputy head of government","Sirima Ratwatte Dias Bandaranaike (Sinhala: සිරිමා රත්වත්තේ ඩයස් බණ්ඩාරනායක, Tamil: சிறிமா ரத்வத்தே டயஸ் பண்டாரநாயக்கே; 17 April 1916 – 10 October 2000), commonly known as Sirimavo Bandaranaike,[note 1] was a Sri Lankan stateswoman. She became the world's first non-hereditary female head of government in modern history, when she was elected Prime Minister of Sri Lanka in 1960. She served three terms: 1960–1965, 1970–1977 and 1994–2000.","//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Sirimavo_Bandaranaike%2C_Prime_Minister_of_Ceylon_1960.PNG/220px-Sirimavo_Bandaranaike%2C_Prime_Minister_of_Ceylon_1960.PNG",""
"Reneta Indzhova","Bulgaria","Acting Prime Minister","17 October 1994","25 January 1995","100 days","Head of government","Reneta Ivanova Indzhova (Bulgarian: Ренета Иванова Инджова) (born 6 July 1953) is a Bulgarian politician and manager. Between October 1994 and January 1995 she served as Prime Minister of Bulgaria, the first, and so far, only, woman in Bulgaria to hold this office.","no image on wikipedia :(",""
"Claudette Werleigh","Haiti","Prime Minister","7 November 1995","27 February 1996","112 days","Head of government","Claudette Werleigh  (born 26 September 1946) was Prime Minister of Haïti from November 7, 1995 to March 6, 1996. She was Haiti's first female Prime Minister.","no image on wikipedia :(",""
"Sheikh Hasina","Bangladesh","Prime Minister","12 June 1996","15 July 2001","5 years, 33 days","Head of government","She is the daughter of Bangladesh's first President Sheikh Mujibur Rahman. Sheikh Hasina is the eldest of his five children. Her political career has spanned more than four decades. She previously served as opposition leader from 1986 to 1990 and from 1991 to 1995, as Prime Minister from 1996 to 2001, and has been leading the Bangladesh Awami League since 1981. In 2008, she returned as Prime Minister with a landslide victory. In January 2014, she became Prime minister for a third term in an unopposed election, in an election boycotted by the opposition and criticised by international observers. She won a fourth term in December 2018, following an election marred with violence and criticised by the opposition as being rigged.","//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Sheikh_Hasina_MSC_2019.jpg/220px-Sheikh_Hasina_MSC_2019.jpg",""
"Ruth Perry","Liberia","Chairman of the Council of State","3 September 1996","2 August 1997","333 days","Head of state and government","Ruth Sando Fahnbulleh Perry (July 16, 1939 – January 8, 2017) was a Liberian politician. She served as the interim Chairman of the Council of State of Liberia from 3 September 1996 until 2 August 1997, following the First Liberian Civil War. After eleven international peace attempts between 1990 and 1995 to end the civil war in Liberia, the attempts appeared to succeed. The interim Council of State consisted of a civilian chairman, as well as members of warring factions: Charles Taylor, United Liberation Movement of Liberia for Democracy-K leader Alhaji Kromah, Liberia Peace Council leader George Boley, and two other civilians.","no image on wikipedia :(",""
"Rosalía Arteaga Serrano","Ecuador","Acting President","9 February 1997","11 February 1997","2 days","Head of state and government","Rosalía Arteaga Serrano (born December 5, 1956) is an Ecuadorian politician who served as the country's first female head of state as acting president for a few days in 1997.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/DRA._ROSALIA_ARTEAGA_%2825654658468%29_%28cropped%29.jpg/330px-DRA._ROSALIA_ARTEAGA_%2825654658468%29_%28cropped%29.jpg",""
"Mary McAleese","Ireland","President","11 November 1997","10 November 2011","13 years, 364 days","Head of state","Mary Patricia McAleese (/mækəˈliːs/; née Leneghan; Irish: Máire Pádraigín Mhic Ghiolla Íosa; born 27 June 1951) is an Irish politician who served as the eighth President of Ireland from November 1997 to November 2011. She is an award winning Catholic academic and author and holds a licentiate and doctorate in Canon law.  She was the second female president of Ireland. McAleese was first elected in 1997, succeeding Mary Robinson, making her the first woman in the world to succeed another woman as president. She was reelected unopposed for a second term in office in 2004. On both occasions she was elected as an independent, although she was previously a member of Fianna Fáil. McAleese is the first president of Ireland to have come from either Northern Ireland or Ulster.","//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Mary_McAleese_Signature.svg/128px-Mary_McAleese_Signature.svg.png",""
